id,name,team
4906,Alberto Gonzalez,TEX
8203,Dee Gordon,MIA
10953,Phil Gosselin,ARI
4675,Tyler Greene,HOU
15670,Alexander Guerrero,LAD
1079,Carlos Guillen,N/A
10816,Jedd Gyorko,SD
1605,Bill Hall,N/A
sa454377,Reese Havens,NYM
5432,Elian Herrera,MIL
4003,Brandon Hicks,NYM
6104,Aaron Hill,ARI
1307,Orlando Hudson,N/A
4898,Luke Hughes,OAK
1609,Omar Infante,KC
7781,Akinori Iwamura,N/A
2437,Maicer Izturis,TOR
13809,Micah Johnson,CHW
5503,Corban Joseph,NYY
13047,Munenori Kawasaki,TOR
4229,Howie Kendrick,LAD
19,Adam Kennedy,WAS
3856,Jeff Keppinger,N/A
6195,Ian Kinsler,DET
9776,Jason Kipnis,CLE
12371,Tommy La Stella,CHC
5247,Brett Lawrie,OAK
9874,DJ LeMahieu,COL
5422,Steve Lombardozzi,BAL
3114,Jose Lopez,CHW
1854,Kazuo Matsui,N/A
5735,Edwin Maysonet,MIL
4583,Mike McCoy,TOR
1844,Aaron Miles,STL
sa864590,Yoan Moncada,BOS
4316,Daniel Murphy,NYM
5306,Kristopher Negron,CIN
12282,Rougned Odor,TEX
2748,Pete Orr,PHI
11936,Joe Panik,SF
6777,Tyler Pastornicky,ATL
8370,Dustin Pedroia,BOS
8841,Ramiro Pena,ATL
5751,Hernan Perez,MIL
12325,Jace Peterson,ATL
8631,Cord Phelps,BAL
791,Brandon Phillips,CIN
5485,Jose Pirela,SD
3312,Martin Prado,MIA
10815,Jurickson Profar,TEX
1429,Nick Punto,N/A
13770,Robert Refsnyder,NYY
12861,Anthony Rendon,WAS
9802,Will Rhymes,WAS
166,Brian Roberts,NYY
6371,Henry Rodriguez,CIN
6589,Sean Rodriguez,PIT
11602,Carlos Sanchez,CHW
11265,Jonathan Schoop,BAL
1555,Marco Scutaro,SF
12533,Marcus Semien,OAK
7927,Eric Sogard,OAK
8623,Donovan Solano,MIA
5352,Yangervis Solarte,SD
12294,Cory Spangenberg,SD
3811,Ryan Theriot,SF
13862,Devon Travis,TOR
3442,Dan Uggla,WAS
1679,Chase Utley,LAD
4969,Luis Valbuena,HOU
5098,Jordany Valdespin,MIA
7539,Neil Walker,PIT
sa828682,Forrest Wall,COL
2498,Jemile Weeks,BOS
1849,Rickie Weeks,N/A
12532,Kolten Wong,STL
15676,Jose Abreu,CHW
9393,Matt Adams,STL
2530,Yonder Alonso,SD
9018,Lars Anderson,TOR
5928,Daric Barton,OAK
10264,Brandon Belt,SF
548,Lance Berkman,N/A
14131,Greg Bird,NYY
49,Kyle Blanks,OAK
9744,Justin Bour,MIA
370,Russell Branyan,N/A
7399,Billy Butler,OAK
1744,Miguel Cabrera,DET
7480,Mike Carp,BOS
4652,Jeff Clement,PIT
13051,Chris Colabello,TOR
7752,David Cooper,CLE
12546,C.J. Cron,LAA
8433,Ike Davis,OAK
2158,Greg Dobbs,MIA
2502,Lucas Duda,NYM
319,Adam Dunn,N/A
2151,Edwin Encarnacion,TOR
4613,Prince Fielder,TEX
5361,Freddie Freeman,ATL
4034,Mat Gamel,MIL
9218,Paul Goldschmidt,ARI
5342,Mauro Gomez,BOS
1908,Adrian Gonzalez,LAD
3118,Jesus Guzman,HOU
3692,Jack Hannahan,CIN
432,Todd Helton,N/A
3516,Eric Hosmer,KC
2154,Ryan Howard,PHI
4793,Travis Ishikawa,PIT
2231,Mike Jacobs,N/A
2167,Dan Johnson,STL
828,Nick Johnson,N/A
2714,Garrett Jones,NYY
4707,Kila Ka'aihue,OAK
242,Paul Konerko,N/A
1930,Casey Kotchman,CLE
5462,Bryan LaHair,CHC
1904,Adam LaRoche,CHW
8879,Ryan Lavarnway,CHC
